,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
207,leona vicario,0,AR,1579664500,63,-43.3,-65.1,292.12,7.65
208,leona vicario,100,TZ,1579664647,73,-4.27,34.37,291.45,0.67
209,leona vicario,100,RU,1579664344,93,69.7,170.31,247.79,0.77
210,leona vicario,90,CA,1579664226,92,55.74,-97.86,264.15,3.6
211,leona vicario,90,RU,1579664246,75,54.72,135.31,255.51,3.97
212,leona vicario,89,DO,1579664648,76,18.28,-70.33,298.15,0.45
213,leona vicario,0,CN,1579664648,33,39.74,98.52,266.65,1.38
214,leona vicario,65,ZA,1579664648,96,-25.78,29.46,286.67,2.26
215,leona vicario,21,ID,1579664241,94,-0.95,100.35,296.14,1.94
216,leona vicario,31,AU,1579664648,37,-37.88,147.98,302.59,6.26
217,leona vicario,75,SB,1579664571,84,-9.43,159.95,299.92,1.88
218,leona vicario,99,PR,1579664637,91,18.43,-66.49,297.59,2.58
219,leona vicario,90,CA,1579664259,85,50.23,-63.6,261.15,7.06
220,leona vicario,0,IN,1579664649,64,29.85,80.53,270.49,4.35
221,leona vicario,75,MU,1579664220,94,-20.41,57.7,298.71,0.5
222,leona vicario,42,CN,1579664649,66,35.65,117.28,279.15,1.21
223,leona vicario,0,CA,1579664649,87,51.95,-102.67,265.78,3.4
224,leona vicario,100,IN,1579664215,80,11.67,92.75,300.59,6.64
225,leona vicario,100,BR,1579664213,85,-22.97,-42.03,296.81,1.41
226,leona vicario,75,US,1579664649,86,41.79,-107.24,273.15,9.8
227,leona vicario,20,TH,1579664649,79,13.57,100.84,305.93,1.5
228,leona vicario,0,CN,1579664649,69,39.82,109.98,267.61,3.68
229,leona vicario,100,GA,1579664649,97,-1.57,9.26,297.11,0.69
230,leona vicario,100,CR,1579664650,81,9.52,-84.32,294.26,1.95
231,leona vicario,42,IR,1579664650,72,31.27,56.81,275.9,0.94
232,leona vicario,1,US,1579664650,53,25.99,-80.23,284.26,7.7
233,leona vicario,57,LY,1579664650,73,29.13,15.95,282.07,3.11
234,leona vicario,57,RU,1579664650,91,54.05,122.9,250.05,0.87
235,leona vicario,90,ES,1579664650,71,43.27,-7.54,284.15,5.7
236,leona vicario,27,ID,1579664650,77,5.89,95.32,301.08,11.06
237,leona vicario,75,VU,1579664021,74,-19.55,169.27,301.15,4.1
238,leona vicario,90,AR,1579664183,100,-38.0,-57.56,293.15,3.6
239,leona vicario,24,BD,1579664373,34,20.86,92.31,294.18,0.69
240,leona vicario,0,CL,1579664208,84,-37.62,-73.65,287.49,2.24
241,leona vicario,20,US,1579664218,44,20.89,-156.47,300.15,2.1
242,leona vicario,91,JP,1579664651,57,35.37,132.77,284.28,1.76
243,leona vicario,89,GB,1579664651,96,52.06,-2.71,279.26,1.49
244,leona vicario,40,ZA,1579664651,82,-29.54,31.21,294.26,2.1
245,leona vicario,100,VE,1579664651,98,7.77,-72.22,287.0,0.69
246,leona vicario,100,CN,1579664651,92,31.81,121.66,284.82,1.72
247,leona vicario,20,TO,1579664375,65,-18.65,-173.98,301.15,1.0
248,leona vicario,76,RU,1579664223,90,71.69,128.87,241.19,1.93
249,leona vicario,100,CM,1579664652,82,3.77,12.25,290.03,1.16
250,leona vicario,0,EG,1579664234,63,24.09,32.91,279.83,4.43
251,leona vicario,97,CN,1579664352,79,27.69,106.91,282.08,1.94
252,leona vicario,94,GL,1579664239,78,68.82,-51.19,256.98,2.94
253,leona vicario,90,US,1579664652,100,34.87,-111.76,282.04,3.6
254,leona vicario,75,RU,1579664652,81,54.67,20.13,279.15,11.0
255,leona vicario,100,CD,1579664652,60,3.04,29.54,289.52,0.57
256,leona vicario,100,JP,1579664653,56,39.27,141.88,277.22,2.04
257,leona vicario,1,VU,1579664255,74,-13.88,167.55,300.49,6.3
258,leona vicario,0,NA,1579664228,86,-22.12,14.28,290.19,1.75
259,leona vicario,100,CG,1579664653,96,-4.15,13.55,295.69,0.83
260,leona vicario,100,NZ,1579663996,71,-46.28,169.85,293.71,4.24
261,leona vicario,20,ID,1579664100,52,-3.7,128.18,306.15,5.1
262,leona vicario,0,CA,1579664236,72,48.65,-53.11,262.59,4.92
263,leona vicario,100,PG,1579664653,76,-6.22,155.63,302.03,4.12
264,leona vicario,54,GH,1579664653,25,9.4,-0.84,299.7,2.16
265,leona vicario,41,EC,1579664329,74,-0.74,-90.35,298.15,0.45
266,leona vicario,27,CU,1579664654,55,22.72,-82.29,290.93,8.05
267,leona vicario,75,JP,1579664263,56,35.13,140.3,280.93,3.6
268,leona vicario,10,RU,1579664654,68,51.68,102.14,253.46,2.72
269,leona vicario,100,SE,1579664654,75,56.66,16.36,279.15,5.7
270,leona vicario,100,GW,1579664654,64,11.28,-15.83,298.49,6.75
271,leona vicario,0,IN,1579664654,63,24.02,75.35,287.64,3.86
272,leona vicario,85,BR,1579664655,98,-18.71,-40.4,295.38,2.16
273,leona vicario,50,PH,1579664263,75,11.0,122.67,299.59,6.23
274,leona vicario,100,PE,1579664025,88,-13.7,-76.22,295.15,1.5
275,leona vicario,40,CA,1579664655,74,46.25,-83.57,271.15,4.1
276,leona vicario,40,MD,1579664655,67,47.75,28.96,273.66,6.46
277,leona vicario,1,US,1579664331,79,41.53,-87.42,270.37,3.6
278,leona vicario,90,US,1579664133,87,36.62,-121.92,285.93,3.1
279,leona vicario,0,IN,1579664504,66,13.32,75.78,292.01,2.22
280,leona vicario,30,ID,1579664656,86,2.1,99.83,300.26,1.96
281,leona vicario,0,NP,1579664656,69,26.89,88.07,281.41,1.34
282,leona vicario,97,AR,1579664656,76,-26.62,-54.13,294.69,2.84
283,leona vicario,0,CN,1579664372,81,43.65,111.98,264.93,6.69
284,leona vicario,31,CN,1579664657,66,41.12,80.26,267.66,0.68
285,leona vicario,75,US,1579663992,87,45.52,-122.68,281.48,2.1
286,leona vicario,20,CA,1579664271,83,58.81,-122.7,253.15,0.96
287,leona vicario,100,JP,1579664479,76,33.36,129.55,283.15,4.97
288,leona vicario,100,UY,1579664216,81,-33.7,-53.46,295.6,4.56
289,leona vicario,100,AO,1579664658,98,-12.02,17.48,291.06,2.93
290,leona vicario,18,AU,1579664658,60,-31.43,152.92,309.26,0.89
291,leona vicario,53,MV,1579664468,78,4.17,73.51,301.72,9.3
292,leona vicario,29,TH,1579664658,81,16.98,98.52,302.04,0.96
293,leona vicario,84,BR,1579664601,92,-7.26,-64.8,297.17,1.06
