,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Hambantota,40,LK,1580012509,83,6.12,81.12,27.0,6.7
1,Cherskiy,100,RU,1580012509,96,68.75,161.3,-27.74,1.21
2,Mar del Plata,0,AR,1580012509,76,-38.0,-57.56,17.78,3.41
3,Ushuaia,75,AR,1580012405,81,-54.8,-68.3,7.0,11.8
4,Chokurdakh,100,RU,1580012510,86,70.63,147.92,-30.13,2.68
5,Calvinia,54,ZA,1580012510,75,-31.47,19.78,12.35,6.45
6,Vila do Maio,75,CV,1580012510,60,15.13,-23.22,24.0,8.2
7,Busselton,97,AU,1580012236,21,-33.65,115.33,33.89,2.34
8,Port Alfred,80,ZA,1580012241,96,-33.59,26.89,19.44,3.13
9,Ruteng,51,ID,1580012510,61,-8.61,120.47,28.7,1.92
10,Lorengau,85,PG,1580012510,71,-2.02,147.27,29.01,2.7
11,Severo-Kuril'sk,100,RU,1580012233,92,50.68,156.12,-7.3,17.99
12,Avarua,100,CK,1580012511,83,-21.21,-159.78,28.0,4.6
13,Tautira,20,PF,1580012226,70,-17.73,-149.15,30.0,4.6
14,Albany,90,US,1580012511,86,42.6,-73.97,3.33,1.5
15,Hobart,84,AU,1580012445,37,-42.88,147.33,21.67,9.8
16,Hibbing,90,US,1580012511,92,47.43,-92.94,-2.78,1.5
17,Rikitea,0,PF,1580012232,77,-23.12,-134.97,26.17,4.57
18,Arraial do Cabo,0,BR,1580012075,82,-22.97,-42.03,23.98,3.02
19,Nhulunbuy,75,AU,1580012284,70,-12.23,136.77,31.0,4.6
20,Fortuna,90,US,1580012260,87,40.6,-124.16,14.0,4.1
21,Cape Town,40,ZA,1580012014,87,-33.93,18.42,16.11,2.6
22,Puerto Ayora,54,EC,1580012232,31,-0.74,-90.35,24.44,0.45
23,Ziway,87,ET,1580012512,90,7.93,38.72,14.94,4.52
24,Khatanga,22,RU,1580012253,96,71.97,102.5,-31.08,1.18
25,Amapa,100,BR,1580012512,99,1.0,-52.0,23.01,1.26
26,Hermanus,83,ZA,1580012236,100,-34.42,19.23,14.44,3.58
27,Butaritari,100,KI,1580012243,72,3.07,172.79,29.73,4.42
28,Barrow,20,US,1580012327,75,71.29,-156.79,-29.0,5.1
29,Santiago de Chuco,100,PE,1580012512,95,-8.15,-78.18,5.95,1.94
30,Lensk,100,RU,1580012513,93,60.73,114.93,-6.23,4.87
31,Torbay,5,CA,1580012284,85,47.67,-52.73,-6.67,6.2
32,Kaitangata,5,NZ,1580012268,66,-46.28,169.85,20.56,4.67
33,Port Elizabeth,20,ZA,1580012434,82,-33.92,25.57,20.0,11.3
34,Kushmurun,100,KZ,1580012513,93,52.45,64.63,-6.43,10.95
35,Pilar,75,BR,1580012513,100,-9.6,-35.96,25.0,1.0
36,Tuatapere,98,NZ,1580012513,51,-46.13,167.68,18.69,2.13
37,Bluff,57,NZ,1580012237,52,-46.6,168.33,19.16,3.81
38,Tiarei,40,PF,1580012513,74,-17.53,-149.33,29.0,5.1
39,Acarau,90,BR,1580012514,95,-2.89,-40.12,25.0,2.03
40,Tuktoyaktuk,90,CA,1580012286,75,69.45,-133.04,-26.0,9.3
41,Pati,0,ID,1580012514,70,-6.76,111.04,29.46,2.64
42,Lekoni,100,GA,1580012514,47,-1.58,14.26,26.23,1.28
43,Brae,100,GB,1580012514,87,60.4,-1.35,8.0,8.7
44,Iquique,90,CL,1580012514,83,-20.22,-70.14,24.0,2.1
45,Les Cayes,0,HT,1580012514,70,18.2,-73.75,25.46,4.47
46,Atuona,74,PF,1580012407,77,-9.8,-139.03,27.08,6.17
47,Mataura,64,NZ,1580012288,58,-46.19,168.86,25.36,0.26
48,Poum,100,NC,1580012280,82,-20.23,164.02,26.54,9.56
49,Yerbogachen,100,RU,1580012515,88,61.28,108.01,-3.97,7.54
50,Verkhniy Avzyan,100,RU,1580012515,96,53.53,57.54,-4.45,2.68
51,Jamestown,90,US,1580012515,97,42.1,-79.24,1.11,4.6
52,Nurota,94,UZ,1580012515,92,40.56,65.69,-2.0,1.0
53,Nikolskoye,100,RU,1580012515,86,59.7,30.79,-0.56,2.0
54,Bilibino,100,RU,1580012515,89,68.05,166.44,-19.95,2.36
55,Hay River,75,CA,1580012515,92,60.82,-115.8,-10.0,3.6
56,Hulst,90,NL,1580012515,100,51.28,4.05,3.33,2.1
57,Camacha,20,PT,1580012516,82,33.08,-16.33,14.0,3.6
58,Castro,0,BR,1580012516,93,-24.79,-50.01,16.46,1.27
59,Viseu,0,PT,1580012516,91,40.66,-7.91,7.78,2.24
60,Pisco,90,PE,1580012259,83,-13.7,-76.22,23.0,7.2
61,Dikson,100,RU,1580012516,95,73.51,80.55,-21.02,2.41
62,Isangel,75,VU,1580012409,94,-19.55,169.27,27.0,3.1
63,La Playona,72,HN,1580012516,99,15.12,-88.98,17.59,1.31
64,Tasiilaq,100,GL,1580012516,74,65.61,-37.64,-2.0,17.0
65,Mossamedes,69,AO,1580012516,74,-15.2,12.15,23.71,5.6
66,Carnarvon,13,AU,1580012409,58,-24.87,113.63,30.0,8.2
67,Gimli,90,CA,1580012482,92,50.63,-96.99,-5.0,2.68
68,Kuragino,100,RU,1580012517,97,53.9,92.67,-4.61,1.58
69,Shiyan,91,CN,1580012517,91,32.65,110.78,0.97,1.92
70,Timmins,90,CA,1580012513,98,48.47,-81.33,0.0,2.1
71,Laguna,90,US,1580012517,87,38.42,-121.42,15.0,3.6
72,Bambous Virieux,40,MU,1580012423,78,-20.34,57.76,26.67,6.2
73,Haines Junction,100,CA,1580012280,99,60.75,-137.51,-25.99,2.65
74,Tromso,75,NO,1580012518,92,69.65,18.96,-10.0,1.5
75,Flinders,40,AU,1580012322,19,-34.58,150.86,38.0,4.6
76,Bodden Town,20,KY,1580012518,78,19.28,-81.25,25.0,1.0
77,Torbat-e Jam,70,IR,1580012518,85,35.24,60.62,-1.94,0.57
78,Jingdezhen,100,CN,1580012518,96,29.29,117.21,5.21,2.01
79,Venado Tuerto,0,AR,1580012229,86,-33.75,-61.97,19.44,2.24
80,Punta Arenas,75,CL,1580012237,70,-53.15,-70.92,9.0,9.3
81,Malanje,100,AO,1580012518,99,-9.54,16.34,18.89,1.86
82,Cockburn Town,0,TC,1580012518,74,21.46,-71.14,24.66,5.51
83,Lata,40,PT,1580012518,100,40.16,-8.33,10.0,1.0
84,Tilichiki,100,RU,1580012519,85,60.47,166.1,-3.15,7.63
85,Akureyri,90,IS,1580012519,92,65.68,-18.09,-3.0,3.1
86,Honiara,40,SB,1580012290,66,-9.43,159.95,32.0,3.1
87,Hong Kong,40,HK,1580012287,77,22.29,114.16,17.22,5.1
88,Vila Velha,75,BR,1580012304,94,-20.33,-40.29,22.0,1.0
